
Date,Squad,Name,UserID,Level,XP,JoinTime,PingTime,Banned,Coins,KillsELO,GamesELO,Number_of_Jumps,Zombie_Deaths,Zombie_Kills,Zombie_Wins,Time,Time_Alive_Count,Time_Alive_Longest,Time_Alive,Zombie_Time_Alive_Count,Zombie_Time_Alive,BGM,DamageDealt_p52,DamageDealt_p53,DamageDealt_p54,DamageDealt_p55,DamageDealt_p56,DamageDealt_p57,DamageDealt_p58,DamageDealt_p59,DamageDealt_p60,AR,AK,Pistol,HR,RPG,Shotgun,SR,SMG,Homing,Grenade,HeliMinigun,TankMinigun,Knife,Revolver,Minigun,GL,DamageDealt_p82,DamageDealt_p83,DamageDealt_p84,DamageDealt_p85,DamageDealt_p86,DamageDealt_p87,Fists,VSS,Fifty,MGTurret,XBow,SCAR,TacShotty,VEK,DamageDealt_p96,DamageDealt_p97,LMG,DamageDealt_p101,DamageDealt_p104,DamageDealt_p105,DamageDealt_p110,LaserMine,DamageDealt_p112,Losses_m00,Losses_m10,Losses_m09,Losses_m08,Losses_m07
24082024,-U_A-,Idolwars,6426c100d142af612271789a,113,2479560,1680261384,252375,False,702,1762.23,2069.98,132468,0,0,0,1714337923,3016,893.887,312219.44841,0,0,87778.7603,12376.158,3555.83736,2377.1395,18759.5736,2537.5044,191.23079,8841.5048,1510.19107,3945.4789,55312.7085,50495.03224,6638.406,5558.1117,9917.9092,815.659484,314660,131566.3852,29082.3802,56038.623599,56.3397,454.20875,10875,5585.9657,627.5,253.604,189.9059,4882.3858,302.2427,344.9056,3342.5714,200.4695,300,2547.07081,23700,0,13125,6026.2832,1533.5583,4369.54457,778.71003,514.0171,1979.6906,375,177,134075.7257,0,24269.83438,191.45712,153,38,5,17,9
24082024,.INJ,CHETAS,6238933cbfea711c60e5b261,130,2917485,1647874876,1740650,False,514,1638.81,1443.87,206362,0,0,0,1686291192,11183,675.46,542868.304712,0,0,104784.7668,6233.578,6229.01744,1212.4286,3434.02,1258,165.9,1906.6046,824.5,750,94470.13065,191201.088446,5679.0615,6056.4667,30959.7892,2066.61371,446530,132014.96791,10026.9995,198611.7966282,0,37.5,3000,4224.52546,944.1514,2116.1955,30.2009,0,0,440.148,0,0,660,19464.67981,12300,100,79875,15628.57812,1508.70454,379391.201979,0,3540.1584,9860.30649,2875,0,240865,0,16569.3477,4374.488735,488,38,0,14,4
24082024,.INJ,The Terminator11,62d8149ad142af86293775dc,40,650970,1658328218,356663,False,760,1649.18,1527.57,31887,0,0,0,1682614390,2537,887.906,159254.41926,0,0,37829.8604,11124.7658,4502.60633,603.7279,19896.9075,1970.0575,68.722916,2958.1559,1173.54529,1846.9257,1675.4552,5181.1051,1275.3727,9686.0339,12758.7525,1052.0971,112760,13090.489,14439.1641,50096.91617,0,615,4000,501.352,1582.98521,420.2862,60.2834,2513.9585,0,33.1867,3096.0647,0,1200,35662.1592,1980,1656.5467,88875,72417.853109,175,24080.26582,348.8159,556.375,666.1541,2625,0,125,4.332441,17227.2954,177.5371,130,18,2,3,5
24082024,.INJ,Ducky~,643e906dd142afa8022f16d0,45,793740,1681821805,362480,False,190,1799.94,1513.61,43069,0,0,0,1710508551,1592,606.708,132198.76049,0,0,10430.93262,994.306,118.0816,236.2001,1650,178.5,52.0921,825,85,0,591,870.299,628.1281,7.26518,895.396,377.8151,170868.736,122859.3867,0,29812.798614,59.2615,0,8375,819.5228,0,562.9433,0,100,0,0,0,0,120,16881.4888,0,0,1500,52,248.4576,0,0,326.552,140,625,551.1656,0,0,3682.4989,1532.76538,135,9,0,15,6
24082024,007,Jaredl777,62c5bcc6d142af0b79db00c7,69,1386420,1657126086,1058745,False,500,1675.63,1776.47,75368,0,0,0,1723677446,5283,766.24,287517.42121,0,0,45209.4366,4765.2547,1233.72927,690.6705,3300,867,100.69015,3025,620.54356,3868.0825,1851.724,3375.58159,1176.0474,389.5,2302.2013,320,351960,165282.32216,3225,124983.98873,9.06601,307.84644,250,59.9503,100,110.9255,303.4186,7405.3098,1033.3416,203.5814,4125,151.5416,150,560.48,0,40,174375,42204.921425,120.0617,85520.538365,6.3,2923.9431,0,875,79.8841,3365,44.664377,23913.08899,0,295,37,0,12,4
24082024,00N,pug is b j,5daa1838bfea71ab0e27ede2,46,819365,1571428492,519628,False,124,1384.29,1164.53,23338,6,2,0,1684797443,4413,890.919,411165.84728,6,1570.4796,150145.41347,17441.0371,4178.94593,1790.1661,12396.1866,1850.90103,239.25485,13981.4244,1716.62631,3294.6264,16830.99131,7869.676,4815.5289,6942.02181,9880.33239,6679.389332,214270.531,10644.6759,53421.5931,19721.347301,484.4162,2118.33185,3750,8078.5057,2078.87323,16826.184,66.4123,697.7477,0,480.8428,1558.1776,0,1080,1611.6095,29445,948.5703,34500,12918.969506,2302.826029,17944.926108,576.08776,1910.6385,5098.14264,1000,0,2276.7817,3.83323,35742.8287,751.34513,353,27,1,12,5
24082024,00N,DONOTNINJA,61845fa3d142afb62dc06ca2,137,3099195,1636065187,1487444,False,93,1686.38,1706.72,225495,0,0,0,1703031091,16173,843.581,917712.718738,0,0,194645.02671,14270.4395,4555.7704,2888.5143,21528.8852,1315.8048,251.783207,19728.375,429.9664,3739.3117,50961.601441,457506.95835,13576.3764,6738.1205,911.7304,2996.289509,2303739.8751,43964.4011,4746.3061,34755.306205,29.1108,793.294,19750,12656.9218,1992.5,173.1498,722.02572,6238.5598,90.4192,690.4893,4991.6257,42.0389,1290,7688.6825,48570,160,4500,32243.21478,1403.81182,115077.692633,1267.75899,3503.8558,8507.8049,3250,0,2645,0,1594.755,109859.4613589,925,59,5,20,13
24082024,100%,mutix,62059b4cbfea71ee021e5dd0,89,1893920,1644534604,212195,False,3812,1713.02,1667.47,24480,0,0,0,1718757584,1574,593.247,79011.8442,0,0,10475.3654,4008.7409,1387.9206,145.5725,1793.356,374,37.74212,0,120.6562,100,2496.13155,37373.47,1344.1978,2547.5602,38867.3023,250.7814,17050,19258.0392,2770.6122,40611.37612,0,907.5,2250,5918.05813,800,108.797,40,100,0,0,375,0,90,1170.9549,6600,337.8014,16162.5,33111.31041,252.6551,6616.05677,3352.79321,1082.7038,2234.2711,625,1846.01994,2125,244.203305,3152.9698,47.7397,81,8,0,4,1
24082024,279VN,MrLep79,61ebfbbdbfea719766859703,273,6475670,1642855357,1784656,False,275,1731.82,2212.44,126065,0,0,0,1722530504,11849,905.5,875459.68614,0,0,252734.04559,22039.973,35767.57976,155.1165,26158.571,10745.33401,297.54138,16358.978,4250.40659,3951.8563,32129.30164,793085.237514,26164.8462,10388.44,45626.5558,2824.7005,1115209.593,18305.141,14081.5481,73151.84092,482.1703,4357.79008,7750,2592.19,2431.00442,164.0331,279.7969,800,66.6,170.3527,1750,35.0779,780,16024.6789,11220,181.22556,2250,126843.99233,5535.96339,6873.0077,0,3190.8981,4931.5067,125,48518.170791,12662.5,8.118046,106487.287,53.1129,561,56,11,20,9
24082024,3.O,nihonnzinn,62a83653bfea712a3d44fc9d,93,1992330,1655191123,512253,False,2722,1585.37,1611.93,74832,0,0,0,1708248913,5859,833.554,403494.8915,0,0,125021.94016,22646.9404,3304.99906,3622.4004,16363.7837,810.9343,340.177998,17251.467,1690.11934,8470.0334,27718.063545,134056.686973,1990.2365,2587.072,11616.7935,8420.48423,263835.274,61018.2825,36245.6332,39173.678701,572.01582,3690.14109,1000,4321.98295,5186.41365,2213.7701,1184.8489,12113.4562,1190.039,2125.5423,10382.2469,1180.9086,180,23602.15764,21420,1155.2829,25500,13622.10491,3961.0145,15113.88964,5215.76398,1904.7262,2529.20608,7250,236,62936.854,4.06999,10403.6941,5634.27157,332,26,4,10,5
